8144,OPEN,[proposal] support s2i build strategy,kind/feature,2021-02-20 18:46:42 +0000 UTC
8143,OPEN,Command option -p don't set variable COMPOSE_PROJECT_NAME,kind/bug,2021-02-20 15:30:54 +0000 UTC
8140,OPEN,`docker-compose config` always outputs (sometimes invalid) long form of `ports` and `depends_on` regardless of `version`,kind/bug,2021-02-21 03:32:47 +0000 UTC
8139,OPEN,--profile attribute not respected during 'down',kind/bug,2021-02-19 17:47:32 +0000 UTC
8137,OPEN,Segmentation fault while shutting down containers,kind/bug,2021-02-19 06:19:03 +0000 UTC
8136,OPEN,"docker-compose logs" should not fail if not specifying directly the service with non-readable logging driver,kind/bug,2021-02-19 02:41:24 +0000 UTC
8127,OPEN,IPC - Cannot create IPC shared memory containers,kind/bug,2021-02-17 18:43:44 +0000 UTC
8126,OPEN,Remote ssh URL with user and port is not parsed correctly,kind/bug,2021-02-17 02:42:11 +0000 UTC
8125,OPEN,The -p flag don't set the environment variable COMPOSE_PROJECT_NAME,kind/bug,2021-02-17 11:47:10 +0000 UTC
8121,OPEN,compose 1.28.2 Bug "No such file or directory: '/tmp/tmpoxytjd_f' ",kind/bug,2021-02-20 10:25:14 +0000 UTC
8119,OPEN,Insufficient error message while using `docker-compose`,kind/bug,2021-02-16 05:51:36 +0000 UTC
8116,OPEN,Use Transparent Network (or other) on Docker for Windows by default instead of NAT,kind/bug,2021-02-11 19:00:43 +0000 UTC
8114,OPEN,I need help ,I want use alias network on docker compose with `bridge`,kind/question,2021-02-11 01:08:39 +0000 UTC
8110,OPEN,running containers lose the routing tables if node leaves the Swarm,kind/bug,2021-02-10 13:19:36 +0000 UTC
8108,OPEN,Docker-compose bug observed regarding --env-file cli arg, and env-file section in composer.,kind/bug,2021-02-19 07:18:17 +0000 UTC
8107,OPEN,Documentation enhncement: GPU stanza,kind/feature,2021-02-09 14:14:19 +0000 UTC
8106,OPEN,Cannot start service service-name: driver failed programming external connectivity on endpoint container-name: Error starting userland proxy: listen tcp <ip>:port: bind: cannot assign requested address,kind/bug,2021-02-08 11:09:01 +0000 UTC
8100,OPEN,OSError from python when running `docker-compose build`,kind/bug,2021-02-15 20:22:24 +0000 UTC
8098,OPEN,Separate STDERR and STDOUT in docker compose output,kind/feature,2021-02-11 14:41:51 +0000 UTC
8097,OPEN,'yes' is not boolean in YAML 1.2 spec,kind/bug,2021-02-03 04:55:15 +0000 UTC
8095,OPEN,I need help for mount volumes,kind/question,2021-02-09 10:34:43 +0000 UTC
8086,OPEN,More intuitive error message when Docker service is not running,kind/feature,2021-01-30 21:38:48 +0000 UTC
8085,OPEN,ResourceWarning: unclosed socket reported whenever I use `docker-compose stop`,kind/bug,2021-01-29 23:31:37 +0000 UTC
8084,OPEN,Bug about typo,kind/bug,2021-01-28 17:44:37 +0000 UTC
8083,OPEN,UnicodeDecodeError: 'charmap' codec can't decode byte 0x9d in position 17: character maps to <undefined>,kind/bug,2021-02-05 15:26:29 +0000 UTC
8079,OPEN,Accept --cpuset-cpus flag in `docker-compose build` command,kind/feature,2021-01-28 08:28:47 +0000 UTC
8077,OPEN,specify docker files inline (ie Inline dockerfile:),kind/feature,2021-01-27 16:41:13 +0000 UTC
8072,OPEN,Variable interpolation uses temporary directory for SSL_CERT_FILE variables,kind/bug,2021-01-25 20:17:20 +0000 UTC
8069,OPEN,Shared volume is not quite merged,kind/bug,2021-01-26 09:59:49 +0000 UTC
8068,OPEN,/tmp/ directory not working for --env-file reference,kind/bug,2021-01-27 17:02:34 +0000 UTC
8066,OPEN,Golang override docker-compose, name k1s,kind/question,2021-01-24 06:36:58 +0000 UTC
8062,OPEN,More verbose error in project.py,kind/feature,2021-01-22 14:05:55 +0000 UTC
8059,OPEN,Version 1.28.0 for windows instantly gets deleted by Windows Defender,kind/bug,2021-01-22 12:50:54 +0000 UTC
8056,OPEN,Name resolution bug,kind/bug,2021-01-22 06:02:45 +0000 UTC
8055,OPEN,Any chance of making this decent software?,kind/feature,2021-02-08 21:48:42 +0000 UTC
8052,OPEN,"docker-compose up" crashes when using device_cgroup_rules,kind/bug,2021-01-22 19:00:45 +0000 UTC
8051,OPEN,docker-compose up converts linux path to windows for volumes,kind/bug,2021-01-21 14:05:14 +0000 UTC
