Issue id,Status,Summary,Issue Type,Created,Author,Resolution,Resolved,Description,Creator,Labels,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary,Comment author,Commentary
9806,OPEN,profile unmatched,Bug,2021-04-10 13:53:53 +0000 UTC,ewelinaewela,Opened,,"Hi,

I see the following message when I open my Terminal (Mac, Big Sur):

/Users/.../.zprofile:6: unmatched '

could not find the solution for zprofile:6: unmatched ' anywhere

Does anybody know what is the reason of this problem?
",,,,,,,,,,,,,,
9796,OPEN,"Getting ""zsh: exec format error:"" after installation of ohmyzsh on mac",Support,2021-04-09 19:54:06 +0000 UTC,laxmikantbpandhare,Opened,,"1. Install Operator-sdk on mac (https://sdk.operatorframework.io/docs/installation/)
2. Try ""operator-sdk version"" command then it will work
3. Now, install ohmyzsh
4. Now try same command ""operator-sdk version"" then it will throw error ""zsh: exec format error: operator-sdk"" 

**Expected behavior**
operator-sdk command should work after installation of ohmyzsh command

**Screenshots and/or Recordings**
If applicable, add screenshots to help explain your  #problem.
You can also record an asciinema session: https://asciinema.org/

Working without ohmyzsh -

<img width=""1446"" alt=""Screen Shot 2021-04-07 at 8 23 24 PM"" src=""https://user-images.githubusercontent.com/47066536/113964193-d8754f80-97df-11eb-8864-260d725a83eb.png"">

Error after installtion of ohmyzsh -

<img width=""563"" alt=""Screen Shot 2021-04-07 at 8 23 04 PM"" src=""https://user-images.githubusercontent.com/47066536/113964156-c5627f80-97df-11eb-83c6-4f93b0fc53ed.png"">


**Self Check**

- Have you tried reaching out on the [Discord server](https://discord.gg/ohmyzsh)? 
  This can help cut down on filling up issues. We always have a few people
  online that are in a variety of timezones that are willing to help you!

- Also searching existing [GitHub Issues](https://github.com/ohmyzsh/ohmyzsh/issues?q=) might help you get quicker support

**Desktop (please complete the following information):**

 - OS / Distro: macOS
 - Latest ohmyzsh update?: [e.g. Yes]
 - ZSH Version: 5.7.1
 - Terminal emulator: xterm-256color

**Additional context**
Add any other context about the problem here. This can be themes, plugins, custom configs.
",,,mcornella,"
--
Does this happen when starting zsh with `zsh -f`?
--

--
Also what does `file $(command -v operator-sdk)` show?
--
",,,,,,,,,,
9783,OPEN,Prompt's text color no longer matches command line text color anymore,,2021-04-05 00:30:46 +0000 UTC,jmarcoscosta,Opened,,"The colors should match, but no matter the colorscheme I choose, the prompt color is always black.

**Desktop (please complete the following information):**

 - OS / Distro: Ubuntu LTS 20.04
 - Latest ohmyzsh update?: Yes
 - ZSH Version: 5.8
 - Terminal emulator: Terminator

**Screenshot**
![Screenshot from 2021-04-04 21-29-15](https://user-images.githubusercontent.com/21131685/113525715-ea12e900-958c-11eb-8eab-df16e6c69674.png)",,,,,,,,,,,,,,
9778,OPEN,Tab Completion Menu Causes Incorrect Command Coloring,Area: theme; Bug,2021-04-05 11:28:58 +0000 UTC,jrphill5,Opened,,"1. Use gentoo theme and git plugin (may or may not actually matter)
2. Start typing a command like `ls ` (assuming more than one entry will be available) and hit tab
3. When one of the autocomplete menu items is a directory, the entire command turns blue

**Expected behavior**
In previous versions of ohmyzsh, this should result in a colored PS1, but a white command regardless of autocomplete menu selection

**Screenshots and/or Recordings**
Screenshot available here: https://snipboard.io/iOVh8Z.jpg
First command was `ls test` and then hit tab (which worked correctly because there was only one option)
Second command was `ls te` and then hit tab (which failed because there were multiple options with a directory)

**Self Check**

- Have you tried reaching out on the [Discord server](https://discord.gg/ohmyzsh)?
  This can help cut down on filling up issues. We always have a few people
  online that are in a variety of timezones that are willing to help you!

No, this was working fine until a recent update.

- Also searching existing [GitHub Issues](https://github.com/ohmyzsh/ohmyzsh/issues?q=) might help you get quicker support

Searched, but did not see similar issue reported.

**Desktop (please complete the following information):**

 - OS / Distro: Ubuntu
 - If on Windows what version of WSL: N/A
 - Latest ohmyzsh update?: Yes
 - ZSH Version: commit 2d40b562e5da4c885babc1f7f09aa33a8a891eb2
 - Terminal emulator: GNOME Terminal (TERM=xterm-256color)

**Additional context**
Add any other context about the problem here. This can be themes, plugins, custom configs.

Using gentoo theme and git plugin.",,,tjakobsen90,"
--
I have the same issue.
--
",,,,,,,,,,
9767,OPEN,_ (sudo alias) autocomplete doesn't work,Support,2021-04-03 23:09:09 +0000 UTC,Crazy-Ginger,Opened,,"Autocomplete for `sudo` operates as expected listing options for commands (e.g. lists options for `netctl` then autocomplete to files in `/etc/netctl/`). 

However, this isn't true for `_` despite it just being aliased to ""sudo "" in `$HOME/.oh-my-zsh/lib/misc.zsh`
",,,mcornella,"
--
I can't reproduce this. Can you run `which -a _` and post the output?
--

--
Can you provide a trace of the completion function? You can do that by writing the command you want to complete, then pressing <kbd>CTRL+X</kbd> followed by <kbd>?</kbd>. Afterwards please post the generated file.
--
",Crazy,"
--
`_: aliased to sudo`

![image](https://user-images.githubusercontent.com/26458241/113297318-5f16c200-92f2-11eb-9ada-ed93b2ce95db.png)

--

--
I tried `_ net` which will show a variety of auotcomplete options when using `sudo`
This was the result of `CTRL+X` `?`


[zsh74281_1.txt](https://github.com/ohmyzsh/ohmyzsh/files/6253712/zsh74281_1.txt)

--
",,,,,,,,
9742,OPEN,Tmux Autostart does not propagate environment variables,,2021-03-17 10:02:55 +0000 UTC,lovromazgon,In progress,,"**Describe the bug**
When configuring `ZSH_TMUX_AUTOSTART=true` some applications don't see all environment variables (in my case GoLand is not able to read `GOPATH`).

**To Reproduce**
1. Add this to `.zshrc`:
```
plugins=(tmux)
ZSH_TMUX_AUTOSTART=true
export GOPATH=""$HOME/go/1.16.0""
```
2. Run GoLand (make sure it's configured to read `GOPATH` from system environment)
3. Check [`GOPATH`](https://www.jetbrains.com/help/go/configuring-goroot-and-gopath.html#gopath) settings and see that it's using the default value instead of system var.

**Expected behavior**
If we run the same scenario but set `ZSH_TMUX_AUTOSTART=false` then `GOPATH` in GoLand is set correctly. I expect to see the same behavior if autostart is enabled.

**Desktop (please complete the following information):**

 - OS / Distro: macOS Big Sur 11.2.3
 - Latest ohmyzsh update?: Yes
 - ZSH Version: 5.8 (x86_64-apple-darwin20.1.0)
 - Terminal emulator: iTerm2
",,,lovromazgon,"
--
Sidenote for anyone stumbling across this issue looking for a solution - I fixed it by adding this to `.zshrc`:
```
if [[ $(ps -o command= $$) != ""-zsh"" ]]; then
    ZSH_TMUX_AUTOSTART=false
else
    ZSH_TMUX_AUTOSTART=true
fi
```
--
",,,,,,,,,,
9730,OPEN,Case Insensitivity in history-substring-search,Feature,2021-03-13 11:05:51 +0000 UTC,rharish101,Opened,,"
**Describe the solution you'd like**
history-substring-search should give me case insensitive suggestions if `CASE_SENSITIVE=""true""` is commented.

**Describe alternatives you've considered**
I'm not aware of any. I'm just paying attention to the case of what I type if I'm relying on history-substring-search.
",,,,,,,,,,,,,,
9728,OPEN,How to change zsh-autocomplete color or make text item list under like zsh-autosuggestions,Support,2021-03-12 18:19:01 +0000 UTC,scila1996,Opened,,"Hi. Current when i press '[TAB]' and it will be show the list under command like this. But color of them is alternative to command 

![image](https://user-images.githubusercontent.com/17109300/110980806-d531a400-8398-11eb-940e-f03b4f3b0ddf.png)

I like all item of under list will colored like zsh-autosuggestions

![image](https://user-images.githubusercontent.com/17109300/110980934-fb574400-8398-11eb-8fd1-47751abaf194.png)

How can i do that , thank all !",,,,,,,,,,,,,,
9726,OPEN,Install via homebrew,Feature,2021-03-11 22:04:54 +0000 UTC,reggi,Opened,,I'd love it if were possible to install ohmyzsh via homebrew.,,,arthurduarte1,"
--
+1
--
",,,,,,,,,,
9724,OPEN,"vi-mode ""xp"" to transpose doesn't work properly",,2021-03-15 05:08:26 +0000 UTC,revdandom,In progress,,"Recently (past week or two) whenever I have the vi-mode plugin enabled on my mac or linux desktop, the vi ""xp"" command combination deletes the character but then pastes what I have in my buffer instead of the recently deleted character.

With the vi-mode plugin enabled do the following:
- copy some long text in your linux/mac clipboard
- move to zsh
- type ""egrp this fromthat""
- press ESC to enter vi mode after realizing you typed egrp for the 5 thousandth time
- press 3b then xp
You will get something like ""gLONGSTRINGOFCOPIEDTEXTrp this fromthat""

I would expect ""grep this fromthat""

Ubuntu 21.04 i3-gaps  (gnome-terminal, st, alacritty)  
OSX 10.15.7 (iterm2) 
ZSH 5.8
plugins=(git
    │   ┊fzf
    │   ┊zsh-syntax-highlighting
    │   ┊zsh-autosuggestions
    │   ┊vi-mode
    │   ┊common-aliases
    │   ┊insync-headless)


",,,revdandom,"
--
I found I can work around this by using ""dlp"".
--

--
I found I can get xp working again if I place ""vi-delete-char"" at the ended of line 118 to look like:

wrap_clipboard_widgets copy vi-yank vi-yank-eol vi-backward-kill-word vi-change-whole-line vi-delete vi-delete-char

Now I just need to figure out a way to stop it from writing to my clipboard besides ""ssh localhost""
--
",,,,,,,,,,
