Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Fix Version/s,Component/s,Component/s,Component/s,Component/s,Votes,Labels,Labels,Labels,Description,Environment,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Dependency),Outward issue link (Dependency),Outward issue link (Dependency),Outward issue link (Duplicate),Outward issue link (Duplicate),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Work Breakdown),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (Commits),Custom field (Done),Custom field (E-mail CCs),Custom field (E-mail Sender),Custom field (Epic Link),Custom field (Global Rank),Custom field (Mgmt Approval),Custom field (PM Owner),Custom field (Platform/s),Custom field (Platform/s),Custom field (Platform/s),Custom field (Platform/s),Custom field (Platform/s),Custom field (Platform/s),Custom field (Rank),Custom field (Rank (Obsolete)),Custom field (Ranking),Custom field (Recruitment Status),Custom field (Recruitment Target),Custom field (Requested Country/Site),Custom field (RnD Owner),Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Custom field (Status),Custom field (Story Points),Custom field (Target Level),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
QQmlParserStatus missing componentDestroy() method,QTBUG-91189,313436,Suggestion,Reported,QTBUG,Qt,software,laknoll,"SCM can be found at the Git repository through http://code.qt.io/cgit/.
News on Qt development and releases can be found at http://www.qt.io",https://www.qt.io/qt-framework/,Not Evaluated,,qt.team.quick.subscriptions,morte,morte,18 Feb '21 03:51,18 Feb '21 07:40,18 Feb '21 09:41,,5.15,6.0,6.1,,,,,,,,,,,,,,,,,,,,QML: Declarative and Javascript Engine,Quick: Core Declarative QML ,,,0,,,,There is no method like QQmlParserStatus::componentDestroy() or any other method to notify implementation that object is about to be destroyed (thing that should be invoked after calling QML destroy() and before class destructor call).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,All,,,,,,"0|i0qlsn:",9223372036854775807,9223372036854775807,,,,,,,,,,,,,,"18 Feb '21 07:40;ulherman;The destruction callbacks (in particular Component.onDestruction) are a bad idea. When they are called it's unclear which objects are still alive and which ones have been deleted already. I've seen many feet shot this way. Why do you need them? ",,,,,,,,,,,,,,,,,,,,,
Have some way of moving items that don't fit in a given space into an overflow menu,QTBUG-91169,313377,Suggestion,Reported,QTBUG,Qt,software,laknoll,"SCM can be found at the Git repository through http://code.qt.io/cgit/.
News on Qt development and releases can be found at http://www.qt.io",https://www.qt.io/qt-framework/,Not Evaluated,,qt.team.quick.subscriptions,mitch_curtis,mitch_curtis,16 Feb '21 21:08,16 Feb '21 21:40,18 Feb '21 09:41,,,,,,,,,,,,,,,,,,,,,,,,Quick: Controls 2,,,,0,,,,"The issue can be seen here:

https://github.com/mitchcurtis/slate/issues/158

Having a way to move these obscured items into an overflow menu would be really nice.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,,,,,,"0|i0qle7:",9223372036854775807,9223372036854775807,,,,,,,,,,,,,,"16 Feb '21 21:35;mitch_curtis;I think one really old attempt at this was https://codereview.qt-project.org/c/qt/qtquickcontrols2/+/155771, but I'd like to explore other approaches too.

One way could be to use attached properties. If we start with some code like this:

{code}
        RowLayout {
            // ...
            
            RowLayout {
                id: viewSplitscreenLayout
                height: parent.height
                enabled: projectLoaded
                spacing: 5
    
                Ui.ToolButton {
                    objectName: ""splitScreenToolButton""
                    checkable: true
                    checked: canvas && canvas.splitScreen
                    icon.source: ""qrc:/images/splitscreen.png""
    
                    ToolTip.text: qsTr(""Split Screen"")
    
                    onClicked: canvas.splitScreen = checked
                }
    
                Ui.ToolButton {
                    objectName: ""lockSplitterToolButton""
                    checkable: true
                    checked: canvas && !canvas.splitter.enabled
                    enabled: canvas && canvas.splitScreen
                    icon.source: ""qrc:/images/lock-splitter.png""
    
                    ToolTip.text: qsTr(""Lock Splitter"")
    
                    onClicked: canvas.splitter.enabled = !checked
                }
            }
    
            ToolSeparator {
                height: parent.height
            }
    
            Ui.IconToolButton {
                id: fullScreenToolButton
                objectName: ""fullScreenToolButton""
                text: ""\uF108""
                checkable: true
                checked: window.visibility === Window.FullScreen
    
                ToolTip.text: qsTr(""Toggle fullscreen window"")
    
                onClicked: toggleFullScreen()
            }
        }
{code}

and focus on a single tool button:
{code}
        RowLayout {
            id: toolBarLayout

            // ...

            Ui.IconToolButton {
                id: fullScreenToolButton
                objectName: ""fullScreenToolButton""
                // Just show the icon normally, but also show text when in the overflow menu.
                text: !OverflowMenu.active ? ""\uF108"" : qsTr(""\uF108 %1"").arg(ToolTip.text)
                checkable: true
                checked: window.visibility === Window.FullScreen

                ToolTip.text: qsTr(""Toggle fullscreen window"")
                ToolTip.visible: hovered && !OverflowMenu.active

                OverflowMenu.menu: overflowMenu

                onClicked: toggleFullScreen()
            }
        }

        Item {
            Layout.fillWidth: true
        }

        Button {
            text: qsTr(""..."")
            visible: overflowMenu.active
            onClicked: overflowMenu.open()

            OverflowMenu {
                id: overflowMenu
                boundsItem: toolBarLayout
            }
        }
{code}

For any items that set the attached OverflowMenu.menu property, the OverflowMenu could check when they are no longer fully visible within boundsItem and reparent them to itself via addItem(), and parent them back to the original item when the parent is large enough. I guess it would store the size of boundsItem that would be large enough for the given item to be fully visible at the time when it takes ownership of it so it knows what ""large enough"" is.

This is flexible in that you can have any type of item in the menu, though it does force you to use a menu. It's also a bit tricky when it comes to ToolSeparator: does the user just change the orientation and set a new width? MenuSeparator is the ideal choice for when it gets moved to the overflow menu, but I think MenuSeparator is usually just a ToolSeparator rotated anyway.

There could be more restricted approaches that only allow the use of e.g. Action but do more work for you. Though I'm not sure how separators would work. Maybe ActionGroup could be (mis)used somehow:

{code}
        OverflowToolbar {
            // ...
            spacing: 5
            menu: overflowMenu

            ActionGroup {
                id: viewSplitscreenLayout
                enabled: projectLoaded

                Action {
                    objectName: ""splitScreenToolButton""
                    checkable: true
                    checked: canvas && canvas.splitScreen
                    icon.source: ""qrc:/images/splitscreen.png""

                    ToolTip.text: qsTr(""Split Screen"")

                    onTriggered: canvas.splitScreen = checked
                }

                Action {
                    objectName: ""lockSplitterToolButton""
                    checkable: true
                    checked: canvas && !canvas.splitter.enabled
                    enabled: canvas && canvas.splitScreen
                    icon.source: ""qrc:/images/lock-splitter.png""

                    ToolTip.text: qsTr(""Lock Splitter"")

                    onTriggered: canvas.splitter.enabled = !checked
                }
            }

            Action {
                id: fullScreenToolButton
                objectName: ""fullScreenToolButton""
                // Just show the icon normally, but also show text when in the overflow menu.
                text: !OverflowMenu.active ? ""\uF108"" : qsTr(""\uF108 %1"").arg(ToolTip.text)
                checkable: true
                checked: window.visibility === Window.FullScreen

                ToolTip.text: qsTr(""Toggle fullscreen window"")
                ToolTip.visible: hovered && !OverflowMenu.active

                onTriggered: toggleFullScreen()
            }
        }

        Item {
            Layout.fillWidth: true
        }

        Button {
            text: qsTr(""..."")
            visible: overflowMenu.active
            onClicked: overflowMenu.open()

            Menu {
                id: overflowMenu
            }
        }
    }
{code}

OverflowToolbar could create ToolButtons/ToolSeparators and MenuItems/MenuSeparators as necessary, along with toolButtonDelegate and menuItemDelegate properties to control how those delegates look (e.g. only show icon when in the toolbar, but show both icon and text when in the menu).

Each top-level ActionGroup or Action would be followed by a separator.",,,,,,,,,,,,,,,,,,,,,
macOS is not seen on the kits,QTBUG-91156,313355,Suggestion,Reported,QTBUG,Qt,software,laknoll,"SCM can be found at the Git repository through http://code.qt.io/cgit/.
News on Qt development and releases can be found at http://www.qt.io",https://www.qt.io/qt-framework/,Not Evaluated,,releaseteam,javihria,javihria,16 Feb '21 13:15,16 Feb '21 14:00,18 Feb '21 09:41,,,,,,,,,,,,,,,,,,,,,,,,Packaging & Installer,,,,0,,,,"When macOS kits is installed to development host, it is seen as 'clang 64bit'. That name does not resemble the host OS and some developers might think the naming is weird.

Propose to have macOS stated in the name, like 'macOS (clang) 64bit'. The clang information as well as 64bit is optional as they do not bring much value.

 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,macOS,,,,,,"0|i0ql9b:",9223372036854775807,9223372036854775807,,,,,,,,,,,,,,"16 Feb '21 14:00;tpyssysa;On the contrary. Developer may have several installations for different 32/64-bit toolchains. Let's assume, we had Windows as the folder name. Is it
 * MinGW 32 bit or 64 bbit
 * MSVC 2015, 2017, 2019
 * Something else 

Toolchain tells the developer much more than just the OS name. ",,,,,,,,,,,,,,,,,,,,,
"Replace all ""int"" by a Qt type like size() does with ""qsizetype""",QTBUG-91123,313256,Suggestion,Reported,QTBUG,Qt,software,laknoll,"SCM can be found at the Git repository through http://code.qt.io/cgit/.
News on Qt development and releases can be found at http://www.qt.io",https://www.qt.io/qt-framework/,Not Evaluated,,qt.team.quick.subscriptions,alundra,alundra,14 Feb '21 14:25,14 Feb '21 14:31,18 Feb '21 09:41,,,,,,,,,,,,,,,,,,,,,,,,Widgets: Widgets and Dialogs,,,,0,,,,"Qt improved all the ""size"" functions to return ""qsizetype"" but a lot of places still use ""int"".
 This suggestion is to replace all ""int"" or any of the plain types to Qt types.
 Another way is to use size_t, int32_t and the others of C++11.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,,,,,,"0|i0qkpr:",9223372036854775807,9223372036854775807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add the possibility to set the tooltip delay before it appears and allow 0s for immediate display,QTBUG-91121,313254,Suggestion,Reported,QTBUG,Qt,software,laknoll,"SCM can be found at the Git repository through http://code.qt.io/cgit/.
News on Qt development and releases can be found at http://www.qt.io",https://www.qt.io/qt-framework/,Not Evaluated,,qt.team.quick.subscriptions,alundra,alundra,13 Feb '21 22:51,13 Feb '21 22:51,18 Feb '21 09:41,,6.0.1,,,,,,,,,,,,,,,,,,,,,,Widgets: Widgets and Dialogs,,,,0,,,,"It is actually impossible to set the tooltip delay, so the application must use the default values.
This blocks an application to show immediately the tooltip when the mouse is on an element.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,,,,,,"0|i0qkpb:",9223372036854775807,9223372036854775807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
There should be a (class like) QStringTokenizer for QByteArray,QTBUG-91079,313159,Suggestion,Reported,QTBUG,Qt,software,laknoll,"SCM can be found at the Git repository through http://code.qt.io/cgit/.
News on Qt development and releases can be found at http://www.qt.io",https://www.qt.io/qt-framework/,Not Evaluated,,thiago,fabiankosmale,fabiankosmale,11 Feb '21 07:18,11 Feb '21 07:18,18 Feb '21 09:41,,6.0,6.1,,,,,,,,,,,,,,,,,,,,,Core: Containers and Algorithms,,,,0,,,,"There are instances where we need to split a QByteArray on a separator in the Qt code base; and most likely also in user code (searching for QByteArray::split  invocations in Qt itself  finds plenty). 

With QByteArrayView, we have the necessary view class to support this.
Note that QStringTokenizer takes a case-sensitivity parameter which does not make sense for QByteArray (which has no concept of encoding).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,,,,,,"0|i0qk4n:",9223372036854775807,9223372036854775807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add a means to get the QScxmlStateMachine for the invoked service,QTBUG-91057,313104,Suggestion,Reported,QTBUG,Qt,software,laknoll,"SCM can be found at the Git repository through http://code.qt.io/cgit/.
News on Qt development and releases can be found at http://www.qt.io",https://www.qt.io/qt-framework/,Not Evaluated,,jkobus,andysh,andysh,10 Feb '21 08:48,10 Feb '21 08:48,18 Feb '21 09:41,,,,,,,,,,,,,,,,,,,,,,,,XML: SCXML,,,,0,Reported_by_support_standard,,,"Add a means to get the QScxmlStateMachine for the invoked service, currently it is only possible to get the parent state machine, but not the one that the service was invoked on, so providing a means to get to this would be useful",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,,,,,,"0|i0qjtz:",9223372036854775807,9223372036854775807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Improve QtQuick Layouts documentation on spans and how to have ratios/weights,QTBUG-91040,313055,Suggestion,Reported,QTBUG,Qt,software,laknoll,"SCM can be found at the Git repository through http://code.qt.io/cgit/.
News on Qt development and releases can be found at http://www.qt.io",https://www.qt.io/qt-framework/,Not Evaluated,,smd,smd,smd,09 Feb '21 09:58,09 Feb '21 10:04,18 Feb '21 09:41,,,,,,,,,,,,,,,,,,,,,,,,Quick: Layouts,,,,1,,,,"Some people think that altering spans will increase the implicit size of a cell in a GridLayout (sometimes they try to use spans in order to achieve ratios), e.g:

[https://stackoverflow.com/questions/50651369/qml-layouts-how-to-give-weights-to-items-in-a-row-or-column-layout]

 

Other times, they bind the items size hints to the parent layout e.g:
{code:java}
GridLayout {
    id: grid
    Rectangle {
        Layout.fillWidth: true
        Layout.preferredWidth: grid.width/3
    }
    Rectangle {
        Layout.fillWidth: true
        Layout.preferredWidth: grid.width/3
    }
    Rectangle {
        Layout.fillWidth: true
        Layout.preferredWidth: grid.width/3
    }
}{code}
Which basically will form a circular dependency loop.

 

The documentation should have a section covering these things:
 # Spans (and how unneeded spans and empty columns are ignored)
 # How the size hints of items can be (ab)used in order to specify size weights/ratios on each item
 # How each item is aligned inside a cell (alignment gets first effective when the cell is larger than the items maximum size)
 # Emphasize that size hints should never depend on ""external"" factors! (such as the above snippet).

 

 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,,,,,,"0|i0qjjz:",9223372036854775807,9223372036854775807,,,,,,,,,,,,,,"09 Feb '21 10:04;mitch_curtis;I think this would help so many people, including myself. I've probably run into each of these at some point, some more than once.

The one about size hints not depending on external factors is perhaps the one that I find myself running into the most, although in a more indirect way that binding directly to the size of the layout. :D Usually it ends up in binding loops or things just not looking correct.

Having some best practices listed would be great!",,,,,,,,,,,,,,,,,,,,,
Add support for Apple Pencil Scribble feature ,QTBUG-90932,312850,Suggestion,Reported,QTBUG,Qt,software,laknoll,"SCM can be found at the Git repository through http://code.qt.io/cgit/.
News on Qt development and releases can be found at http://www.qt.io",https://www.qt.io/qt-framework/,Not Evaluated,,qt.team.quick.subscriptions,nagrohn,nagrohn,04 Feb '21 12:42,09 Feb '21 07:29,18 Feb '21 09:41,,5.15,6.0,,,,,,,,,,,,,,,,,,,,,Quick: Mouse Touch and Tablet input,,,,1,reported_by_support_standard,,,"
Apple Pencil is detected and works for touch input, scroll inputs, or text selections, just not for scribble handwriting.
https://support.apple.com/en-au/guide/ipad/ipad355ab2a7/ipados

Please consider adding this feature. ","iPad, Apple Pencil ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,iOS/tvOS/watchOS,,,,,,"0|i0qifr:",9223372036854775807,9223372036854775807,,,,,,,,,,,,,,"04 Feb '21 14:04;srutledg;When it comes to rendering ink strokes, we should have a cross-platform solution eventually; but this is about using the stylus for text editing right?   That's not a Qt Quick feature then: it will need platform work first.  Maybe it's related to input methods somehow?  And we'll have to research whether the implementation can have similarities across platforms, if other platforms can do something like this.",,,,,,,,,,,,,,,,,,,,,
Open Qt app based on file extension on Android,QTBUG-82884,295468,Suggestion,Reported,QTBUG,Qt,software,laknoll,"SCM can be found at the Git repository through http://code.qt.io/cgit/.
News on Qt development and releases can be found at http://www.qt.io",https://www.qt.io/qt-framework/,Not Evaluated,,rampe,DanielSt,DanielSt,14 Mar '20 16:54,08 Feb '21 10:19,18 Feb '21 09:41,,5.15,,,,,,,,,,,,,,,,,,,,,,Extras: Android,,,,1,,,,"Similar to QTBUG-70170 it would be useful to launch an Android app based on the file extension. The following entry to the AndroidManifest.xml file starts the app. Now it would be nice if the passed url is provided:

{code:java}
<intent-filter android:icon=""@mipmap/ic_launcher"" android:label=""My music player"" android:priority=""1"">
	<action android:name=""android.intent.action.VIEW""/>
	<category android:name=""android.intent.category.DEFAULT""/>
	<category android:name=""android.intent.category.BROWSABLE"" />

	<data android:scheme=""content""/>
	<data android:scheme=""file""/>
	<data android:host=""*""/>
	<data android:mimeType=""audio/mp3""/>
	<data android:pathPattern="".*\\.mp3""/>
</intent-filter>
{code}

onCreate can then check and process the Uri:

{code:java}
Uri uri = getIntent().getData();
if (uri != null && ((getIntent().getFlags() & Intent.FLAG_ACTIVITY_LAUNCHED_FROM_HISTORY)) == 0)
   // process Uri and pass it to Qt
{code}

",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,Android,,,,,,"0|i0qhye:3",9223372036854775807,9223372036854775807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
