Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Fix Version/s,Fix Version/s,Component/s,Component/s,Component/s,Component/s,Component/s,Component/s,Component/s,Votes,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Description,Environment,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Cloners),Outward issue link (Depend),Outward issue link (Depend),Outward issue link (Depend),Outward issue link (Depend),Outward issue link (Duplicate),Outward issue link (Duplicate),Outward issue link (Incorporate),Outward issue link (Incorporate),Outward issue link (Incorporate),Outward issue link (Incorporate),Outward issue link (Incorporate),Outward issue link (Relate),Outward issue link (Relate),Outward issue link (Relate),Outward issue link (Relate),Outward issue link (Relate),Outward issue link (Relate),Outward issue link (Relate),Outward issue link (Relate),Outward issue link (Relate),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (1.1.x Status),Custom field (1.5 Status),Custom field (10 status),Custom field (11 status),Custom field (12 status),Custom field (19 status),Custom field (2.1.x Status),Custom field (2.2 Status),Custom field (2.3 Status),Custom field (2.7 Status),Custom field (2.8 Status),Custom field (2.9 Status),Custom field (20 status),Custom field (21 Status),Custom field (CLE Team Issue),Custom field (Conversion Script Required),Custom field (Epic Link),Custom field (External issue ID),Custom field (External issue ID),Custom field (Global Rank),Custom field (Points),Custom field (Previous GIT issue),Custom field (Previous Issue Keys),Custom field (Property addition/change required),Custom field (Raised During),Custom field (Rank),Custom field (Rank (Obsolete)),Custom field (Release Notes),Custom field (Test Plan),Custom field (Test Sessions),Custom field (Test Sessions),Custom field (Testing Status),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitCommitsReferenced),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
Upgrade the Sakai JSF based tools to use 2.3,SAK-40056,83294,New Feature,OPEN,SAK,Sakai,software,maintenanceteam,"The core Sakai Project. Please follow the <a href=""https://confluence.sakaiproject.org/display/MGT/Sakai+Jira+Guidelines"">Jira Guidelines</a>",http://sakaiproject.org,Critical,,,farreri,farreri,29-May-2018 08:27,07-Jan-2021 22:40,18-Feb-2021 03:38,,,,,,,,,,,,,,,,,,,,JSF,,,,,,,0,,,,,,,,,"Umbrella JIRA to upgrade the Sakai JSF based tools to a more recent version of JSF.

As of 2020-12-14 (Sakai 21)
  
||App||jsf 1.1||jsf 1.2||jsf 2||
|Chat| | |{color:#14892c}Y{color} 19.0|
|Samigo| | |{color:#14892c}Y{color} 19.0|
|MSGCNTR| | |{color:#14892c}Y{color} 19.0|
|admin-su| | |{color:#14892c}Y{color}  22.0|
|User Membership|{color:#d04437}Y{color}| | |
|Sign-up| |{color:#ffab00}Y{color} | |
|Postem|{color:#d04437}Y{color}| | |
|Calendar Summary|{color:#d04437}Y{color}| | |
|Sections| | |{color:#14892c}Y{color} 21.0|
|Syllabus| |{color:#ffab00}Y{color} | |
|podcasts|{color:#d04437}Y{color}| | |
|user auditservice| | |{color:#00875a}Y{color}  22.0|
|user prefs|{color:#d04437}Y{color}| | |
|user admin prefs|{color:#d04437}Y{color}| | |",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,,,"0|10bi3c:",9223372036854775807,,Please add a Test Plan here.,,,Not started,,,,,,,"11-Sep-2018 04:24;farreri;Thanks for the contribution [~dhorwitz] !",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Replace the bootstrap multiselect component by Select2,SAK-41651,85210,New Feature,OPEN,SAK,Sakai,software,maintenanceteam,"The core Sakai Project. Please follow the <a href=""https://confluence.sakaiproject.org/display/MGT/Sakai+Jira+Guidelines"">Jira Guidelines</a>",http://sakaiproject.org,Critical,,,farreri,farreri,09-Apr-2019 15:50,14-Jul-2020 11:26,18-Feb-2021 03:38,,19.0,20.0,,,,,,,,,,,,,,,,,Assignments,Tests & Quizzes (Samigo),WebJars,,,,,0,consistency,SWITCH,UX,UXReviewed,webjars,,,,"[http://davidstutz.de/bootstrap-multiselect/] was introduced in Samigo, Assignments and site info to improve the group selection, but [https://select2.org/] was in Sakai before, I think its strongly supported and very well documented.

I suggest replacing bootstrap-multiselect and adopt Select2 as the standard UI component.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,,,"0|10bta8:",9223372036854775807,,,,,Not started,,,,,,,"17-Apr-2019 10:59;sfoster9;We reviewed this proposal at the Sakai UX working group call today. We like that this proposal will make this component consistent throughout Sakai.

We noticed that the Bootstrap Multiselect had the additional feature functionality of:
* selecting multiple options without the dropdown closing between clicks
* indicates the number chosen
* indicates when all option are selected

which the Select2 option didn't seem to do/have.

We wondered if the accessibility group has evaluated either of these options.","24-Apr-2019 07:56;farreri;Ok [~sfoster9], feel free to close this JIRA or change the objectives.","15-Jun-2019 23:11;jonespm;I agree, it looks like this first one is a feature request for Select2 but may not get much attention soon.

[https://github.com/select2/select2/issues/5302]

It looks like the one we're using hasn't been updated in awhile, otherwise it still seems pretty good.

This one looks pretty similar [https://dashboardcode.github.io/BsMultiSelect/] but switching to something else would have to take a11y into consideration. 

This one might be the best I've seen? [https://github.com/snapappointments/bootstrap-select/]","19-Jun-2019 07:57;farreri;Looks good [~jonespm]!

Nowadays we're using multiple selectors in Sakai, I feel the need of choosing one and reuse it, one well supported, accessible, good in terms of L10N, etc

 ","19-Jun-2019 11:42;sfoster9;Could we create a Sakai web component that could contain whichever multi-select component we choose? Then if we need to switch it out in the future, we only have to change it in one spot. ","14-Jul-2020 10:54;profmikegreene;This can be closed yes?","14-Jul-2020 11:26;farreri;Yes I guess, thanks!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mismatch between rubric points and item points,SAK-40155,83401,New Feature,OPEN,SAK,Sakai,software,maintenanceteam,"The core Sakai Project. Please follow the <a href=""https://confluence.sakaiproject.org/display/MGT/Sakai+Jira+Guidelines"">Jira Guidelines</a>",http://sakaiproject.org,Critical,,,wilma@longsight.com,wilma@longsight.com,19-Jun-2018 14:52,31-Oct-2019 14:52,18-Feb-2021 03:39,,19.0,,,,,,,,,,,,,,,,,,Rubrics,,,,,,,7,,,,,,,,,"Rubrics should either scale to the point value of the assignment/topic/quiz or should alert the user that there is a mismatch and prompt the user to manually adjust either the rubric or the item point value so they are equal. Users expect to be warned by the system at the time of attaching the rubric, unless the rubric will automatically scale the item points based on a percentage. Scaling the points might be the better approach, since some instructors use similar rubrics for many items of different point values. In those cases, multiple copies of the same basic rubric would be needed for different point values, which could get confusing for the user.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"25-Jun-2018 14:47;wilma@longsight.com;associate-with-gb-item.png;https://jira.sakaiproject.org/secure/attachment/50197/associate-with-gb-item.png","25-Jun-2018 14:47;wilma@longsight.com;gb-item-value-alert.png;https://jira.sakaiproject.org/secure/attachment/50198/gb-item-value-alert.png",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,,,"0|10biqw:",9223372036854775807,,Please add a Test Plan here.,,,Not started,,,,,,,"25-Jun-2018 13:24;jonespm;It would be nice to test how assignments handles this now

- Add grade item worth 100
- Add assignment worth 10, and attach to gradebook item

What happens?","25-Jun-2018 14:46;wilma@longsight.com;When sending grades for an assignment to an existing gradebook item, there is no warning to the user in assignments. It lets you associate the grades with the item even if there is a points mismatch. I tested it with an assignment worth 100 and a gradebook item worth 10. When you grade the assignment, the gradebook does alert the user that the grade is more than the points possible on the item. (See images attached)

It should be noted that associating an assignment with an existing gradebook item is not the preferred way of adding assignments to the gradebook. Typically, users select the ""add assignment to gradebook"" option to make a new gradebook item when creating the assignment. In this case the points value comes from the assignment itself so they always match.","21-Jun-2019 12:33;tkelsey2;[~jonespm], when you do this with a rubric, the point total from the rubric will be applied to the number of points entered for the gradebook, so if you make a gradebook item worth 10 points and attach a rubric totalling to 100 points, even if the student gets 50/100 on the rubric, they will get 500% in the gradebook. I agree that this should be fixed, or at the very least show a warning of some sort.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Implement hazelcast caching,SAK-39395,63088,New Feature,In Progress,SAK,Sakai,software,maintenanceteam,"The core Sakai Project. Please follow the <a href=""https://confluence.sakaiproject.org/display/MGT/Sakai+Jira+Guidelines"">Jira Guidelines</a>",http://sakaiproject.org,Critical,,chasegawa,ottenhoff,ottenhoff,23-Jun-2014 14:36,19-Jul-2019 08:06,18-Feb-2021 03:39,,10.0,,,,,,,,,,,,,,,,,,Kernel,,,,,,,2,,,,,,,,,http://hazelcast.org/ is a distributed caching system. We should support caching via hazelcast as an option (since right now we only support ehcache/terracotta),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47188,,,KNL-1272,,,"0|1084so:",47436,,,,,Not started,master,,,,,true,"23-Jun-2014 14:37;ottenhoff;Agree this would be a great addition to core Sakai.  I'd also love to see another part take on a Memcache implementation.","23-Jun-2014 18:08;hudson;Integrated in sakai-trunk-java-1.7 #294 (See [http://builds.sakaiproject.org:8080/job/sakai-trunk-java-1.7/294/])
    KNL-1272 Initial tweaks to make it easier to add other caching implementations (Revision 310369)

     Result = UNSTABLE","24-Jun-2014 15:31;hudson;Integrated in sakai-trunk-java-1.7 #296 (See [http://builds.sakaiproject.org:8080/job/sakai-trunk-java-1.7/296/])
    KNL-1272 fixed up dependencies for ehcache and TC + added HC (Revision 310388)

     Result = UNSTABLE","01-Jul-2014 21:10;hudson;Integrated in sakai-trunk-java-1.7 #297 (See [http://builds.sakaiproject.org:8080/job/sakai-trunk-java-1.7/297/])
    KNL-1272 Adding first implementations of the hazelcast memoryservice and cache (Revision 310398)

     Result = UNSTABLE","19-Jul-2019 08:06;chaitanya.cheekate;Is there any update on this task?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Students should be able to preview rubrics in forums and quizzes,SAK-40160,83406,New Feature,OPEN,SAK,Sakai,software,maintenanceteam,"The core Sakai Project. Please follow the <a href=""https://confluence.sakaiproject.org/display/MGT/Sakai+Jira+Guidelines"">Jira Guidelines</a>",http://sakaiproject.org,Critical,,,wilma@longsight.com,wilma@longsight.com,19-Jun-2018 15:07,29-Mar-2019 11:27,18-Feb-2021 03:39,,19.0,,,,,,,,,,,,,,,,,,Forums Tool,Rubrics,Tests & Quizzes (Samigo),,,,,6,,,,,,,,,"When submitting as a student, the rubric should be available for preview in both Forums and Test & Quizzes (provided it is not hidden by the instructor). Currently, the rubric cannot be previewed prior to posting to a topic using a rubric or submitting a quiz using a rubric. The instructor option to hide it implies that students will be able to see it if it is not hidden. Additionally, most faculty consider it good practice to allow students to view the grading criteria prior to submitting work.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,,,"0|10bis0:",9223372036854775807,,Please add a Test Plan here.,,,Not started,,,,,,,"25-Nov-2018 10:15;agschmidt;SAK-40310: students are no longer able to preview rubrics in Assignments, and I think Assignments and Gradebook should be added to this feature request.

As of SAK-40310, the wording for the rubric has changed. The option is now to Hide the rubric, which means the student never sees it. If the rubric is not hidden, the student will only see if after it has been graded and the grade released to the student for Assignments, Gradebook and quizzes.","20-Mar-2019 10:14;wilma@longsight.com;The ability for students to preview the rubric previously existed in Assignments. I'm not sure why or when it was removed, but it was there at the time this JIRA was originally created, since the behavior in Assignments (where student rubric preview was available) is the desired behavior for all tools where rubrics are used.","29-Mar-2019 11:22;splatt@rwu.edu;I was looking at this this morning just with Assignments (on nightly [19.0-rc01 on MySQL|https://qa1-us.nightly.sakaiproject.org/portal]) and I agree with you Wilma on the other tools.  With regards to showing the Preview Rubric to the student, shouldn't the student also see the Graded Rubric not just the preview of it when they go into the Gradebook or the Assignment itself? I may be missing something but if the instructor is grading from the Rubric, I would want the student to see the graded rubric and how they attained their score. There's maybe another JIRA regarding this or I just missing something but your original comment was the first one I saw that that ""somewhat"" related.","29-Mar-2019 11:27;splatt@rwu.edu;I think I found it...SAK-41512 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Configuration changes should be allowed via an admin UI,SAK-22313,55356,New Feature,OPEN,SAK,Sakai,software,maintenanceteam,"The core Sakai Project. Please follow the <a href=""https://confluence.sakaiproject.org/display/MGT/Sakai+Jira+Guidelines"">Jira Guidelines</a>",http://sakaiproject.org,Critical,,ern,maintenanceteam,maintenanceteam,21-Jun-2012 11:16,07-Dec-2018 11:45,18-Feb-2021 03:39,,2.7.2,2.8.2,2.9.0,,,,,,,,,,,,,,,,Config,,,,,,,0,,,,,,,,,"All major LMSs have the ability to modify the configuration of the system via the database. In some ways this is better than only loading them from the files (could reduce the need for restarts, avoids files out of sync issues, etc.)

This is the master ticket and most of the work should happen in subtasks.

Changes to the configuration service (major ones) added the core support necessary and APIs to support this in general. We will probably build on the work in the config viewer and config editor tools.

Notes from the TCC meeting in 2012:
Configuration in the UI properties/messages (all other major LMSs have this)
Complete config cleanup: SAK-21124 - Sakai default config is missing a huge number of config options - IN PROGRESS
Config persisted in the DB (master from files) 
Register the config props in code (like function manager) 
john bush put some thinking into a design with a raw prototype last year, see, Runtime configuration of properties in 2.10.  rSmart would very much like to get involved in this effort as it is closely related to the runtime config of i18n work we did a few years back.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,7933,,,,,,"0|101j1s:",8921,,,,,Not started,master,,,,,true,"21-Jun-2012 15:44;hudson;Integrated in kernel-trunk #517 (See [http://builds.sakaiproject.org:8080/job/kernel-trunk/517/])
    SAK-22316 improvements to the SCS and the listeners to allow better processing of config items
(support for SAK-22313) (Revision 109469)

     Result = SUCCESS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idea for increasing the size of resource id,SAK-39503,70595,New Feature,OPEN,SAK,Sakai,software,maintenanceteam,"The core Sakai Project. Please follow the <a href=""https://confluence.sakaiproject.org/display/MGT/Sakai+Jira+Guidelines"">Jira Guidelines</a>",http://sakaiproject.org,Critical,,k1team,jonespm,jonespm,09-Mar-2017 15:52,25-Apr-2018 15:34,18-Feb-2021 03:39,,,,,,,,,,,,,,,,,,,,Kernel,,,,,,,5,,,,,,,,,"Looking back at some old tickets
SAK-11816
SAK-11020

The field resource_id (and related fields) in the content tables has remained a small 255 characters since the beginning of Sakai. The main problem now is that this limits the length of file names and directory structures since that entire information is stored in the resource id. Previously it was also a problem for URL's but that was ""fixed"" in 2.7. (Even though the fix involved actually creating a file which introduced problems of it's own such as importing a tool like Lessons without importing it's content) 

It looks like historically it's remained that low because of Mysql. Prior to 5.0.3 the varchar was limited to 255 characters. That makes sense. Then the index was also limited to 737 bytes (255*3 for UTF-8). However in more recent versions, the index of InnoDB tables is allowed to be as large as 3072 bytes (1024*3) and the varchar limitation is up to 65K. Oracle still has the 4K limit which is larger than both and should be safe to increase now, but should probably still stay in the same limit for consistency.

So it seems like we could safely increase these id's where they are used up to the MySQL maximum of 1024, giving us a little more room on these ids. Anything else seems like it would require a more creative solution (which may or may not be worked on)

Any feedback on this? 

http://dev.mysql.com/doc/refman/5.5/en/innodb-parameters.html#sysvar_innodb_large_prefix",,,,,,,,,,,,,,,,,,,,,,SAK-11020,SAK-11816,SAK-32391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,KNL-1501,,,"0|109eg0:",9223372036854775807,,,,,Not started,,,,,,,"09-Mar-2017 15:54;jonespm;I had this as an old email, mostly putting it up here as an to get more comments/feedback so I don't lose it. This might be a little different if we went to utf8mb4 by default but should still allow for a little more room. Anything else just seems like it gets to be too complicated?","10-Mar-2017 03:58;buckett;The more complex solution is to hash the resource ID and use that as a key/lookup. That way we don't have to worry about index limits on both the resource_id and the in_collection columns.

","10-Mar-2017 04:52;adamm;yes and thrice yes Matthew. Please please make this happen. We are always having to apologise to staff when they hit the limit. 

For some reason our staff love uploading documents called: ""A Microsoft Word document containing text that describes in great detail crop rotation in the home counties of England in the 15th century.doc"" into a folder called ""A folder that contains documents pertaining to the informational transfer of key concepts related to but not restricted to crop rotation in the home counties of England in the 15th century"". I think you get the picture!","29-Mar-2017 15:04;ncaidin;The team generally does not consider feature requests to be of ""critical"" priority. Any reason to make an exception on this one?  Although if a PR is coming soon the priority level may not matter so much.","19-May-2017 08:51;jonespm;I'm not too sure about the creative/hash solution, it seems like it would require work and conversions. I'm sure there's even more creative solutions as the way we store content in the database is really inefficient but the focus on that ended years ago with JCR. With MySQL 5.7.7+ the large_prefix is the default so that makes it easy, it looks like anyone lower would have to set it in their configuration. This is the instructions on Drupal for utf8mb4 support (which is semi related to this) https://www.drupal.org/node/2754539

It might be possible for Sakai to detect if large prefixes are available and use a different hibernate mapping (and also different limits) while also warning the user they should set these for increased limits. Or we could just make it a requirement for future versions of Sakai to just set this?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Students Receive Misleading Msgs when Late Submissions Are Allowed,SAK-34793,82003,New Feature,OPEN,SAK,Sakai,software,maintenanceteam,"The core Sakai Project. Please follow the <a href=""https://confluence.sakaiproject.org/display/MGT/Sakai+Jira+Guidelines"">Jira Guidelines</a>",http://sakaiproject.org,Critical,,maintenanceteam,lgekeler,lgekeler,26-Jan-2018 09:14,17-Apr-2018 08:08,18-Feb-2021 03:39,,11.4,12.0,,,,,,,,,,,,,,,,,Tests & Quizzes (Samigo),,,,,,,0,,,,,,,,,"The student is never told that late submissions are accepted.
 The student sees nothing but the due date in red (which could lead them to believe they can no longer submit at all).
 *{color:#FF0000}In Sakai 12, a pop-up message appears using the INCORRECT date (the due date, when the LATE SUBMISSION DATE should appear).{color}*

See sequenced screen captures for student experience.",https://qa2-us.nightly.sakaiproject.org/portal  Sakai 12 RC01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26-Jan-2018 09:20;lgekeler;SAM-3347-01.png;https://jira.sakaiproject.org/secure/attachment/49227/SAM-3347-01.png","26-Jan-2018 09:20;lgekeler;SAM-3347-02.png;https://jira.sakaiproject.org/secure/attachment/49226/SAM-3347-02.png","26-Jan-2018 09:20;lgekeler;SAM-3347-03.png;https://jira.sakaiproject.org/secure/attachment/49225/SAM-3347-03.png","26-Jan-2018 09:20;lgekeler;SAM-3347-04.png;https://jira.sakaiproject.org/secure/attachment/49224/SAM-3347-04.png","26-Jan-2018 09:20;lgekeler;SAM-3347-05.png;https://jira.sakaiproject.org/secure/attachment/49223/SAM-3347-05.png",,,,,,,,,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,SAM-3347,,,"0|10bbf4:",9223372036854775807,,"Create a 1 question quiz with the following settings:
 1. Unlimited submissions
 2. Available date/time current
 3. Due date/time 5 minutes from now
 4. No time limit
 5. *LATE SUBMISSIONS ACCEPTED* date/time 10 min from now
 6. Publish Quiz

Login as a student to take the quiz.",,,Not started,,,,,,,"29-Jan-2018 13:25;berappl;Seems to be several potentially similar/related tickets. Labeling for SAM JIRA Triage on Friday.

SAM-3299

SAM-3312","05-Feb-2018 13:16;ncaidin;On Sakai JIRA triage our thinking is that this is a feature request that would have to be an option for the instructor to say if they want to show the students that there is a late submission date and what that date is. But the due date should always be shown.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Record additional (exception) data for debugging failed samigo events,SAK-34776,69560,New Feature,OPEN,SAK,Sakai,software,maintenanceteam,"The core Sakai Project. Please follow the <a href=""https://confluence.sakaiproject.org/display/MGT/Sakai+Jira+Guidelines"">Jira Guidelines</a>",http://sakaiproject.org,Critical,,samigoteam,jonespm,jonespm,23-Sep-2016 18:45,17-Apr-2018 08:08,18-Feb-2021 03:39,,,,,,,,,,,,,,,,,,,,Tests & Quizzes (Samigo),,,,,,,0,,,,,,,,,"Right now if there's an event in the event log like ""Error on Begin Assessment"" there's no details of why this error occurred. In the code there is a stack trace available which would be nice to have for admins that look at the event log. So I think an additional column should be added to the event log table to capture details of what event occurred. (For admins)

There isn't always an exception but it looks lik ein a lot of cases this error like error_submit is in a catch(Exception e) case and while the exception occasionally is logged, the logs could be rotated or difficult to find after awhile. It seems like it would be nice to have them right there available.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,SAM-3033,,,"0|10982g:",9223372036854775807,,,,,Not started,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Setting anonymous grading should require confirmation,SAK-34644,58852,New Feature,OPEN,SAK,Sakai,software,maintenanceteam,"The core Sakai Project. Please follow the <a href=""https://confluence.sakaiproject.org/display/MGT/Sakai+Jira+Guidelines"">Jira Guidelines</a>",http://sakaiproject.org,Critical,,maintenanceteam,dhorwitz,dhorwitz,02-Apr-2013 08:33,17-Apr-2018 08:08,18-Feb-2021 03:39,,,,,,,,,,,,,,,,,,,,Tests & Quizzes (Samigo),,,,,,,1,,,,,,,,,"Our support desk frequently has to deal with queries from users who have set their tests to be anonymous in error. These are costly to resolve as they require escalation to a developer.

Solution: Selecting anonymous grading should trigger an alert (""you have selected anonymous grading, This means you will not be able to link submission to specific students. Are you sure you want this?""). ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18558,,,SAM-2117,,,"0|106djk:",37189,,,,,Not started,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
